sep=,
DeviceTag:,Xsens_4,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.0.0,,,,,,,,,,,,,,,,,
StartTime:,2023-06-20 14:10:10.000 +0200,,,,,,,,,,,,,,,,,
© Movella Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Status,
0, 155536714, 1.3937608003616333, -0.09166022390127182, 88.2291488647461, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 
1, 155553381, 1.3857009410858154, -0.03567344322800636, 88.21468353271484, -0.008513147011399269, 0.24668768048286438, 10.26536750793457, 0.8884469270706177, 0.8392577171325684, -0.6081478595733643, 0, 
2, 155570048, 1.3910175561904907, 0.008371357806026936, 88.20369720458984, 0.016492830589413643, 0.24297207593917847, 10.257101058959961, 0.8794953227043152, 0.7441450357437134, -0.6884182095527649, 0, 
3, 155586715, 1.3986424207687378, 0.02551807090640068, 88.18822479248047, 0.014201408252120018, 0.23282641172409058, 10.243326187133789, 0.8761783838272095, 0.7450029253959656, -0.6031918525695801, 0, 
4, 155603382, 1.4033185243606567, 0.03479335829615593, 88.1820068359375, 0.008220544084906578, 0.2353571057319641, 10.239603042602539, 0.8474409580230713, 0.8204068541526794, -0.5901550054550171, 0, 
5, 155620049, 1.408823847770691, 0.04141971096396446, 88.17121124267578, 0.013992398045957088, 0.24256137013435364, 10.247790336608887, 0.8663175106048584, 0.7540314197540283, -0.585160493850708, 0, 
6, 155636716, 1.4163668155670166, 0.04635191336274147, 88.15705871582031, 0.002522058319300413, 0.2515413165092468, 10.249530792236328, 0.854843020439148, 0.7548382878303528, -0.5909106135368347, 0, 
7, 155653383, 1.4263099431991577, 0.054037582129240036, 88.14331817626953, 0.00934916827827692, 0.24581962823867798, 10.26049518585205, 0.8457890152931213, 0.820393979549408, -0.6000031232833862, 0, 
8, 155670050, 1.4374889135360718, 0.06140682473778725, 88.13695526123047, 0.01969439908862114, 0.2539036273956299, 10.255879402160645, 0.8965661525726318, 0.8090347647666931, -0.547484278678894, 0, 
9, 155686717, 1.4488271474838257, 0.06854715943336487, 88.11643981933594, 0.009014056995511055, 0.23999513685703278, 10.266830444335938, 0.8401286602020264, 0.8489906191825867, -0.6582591533660889, 0, 
10, 155703384, 1.459967851638794, 0.07616067677736282, 88.0960693359375, -0.005460895597934723, 0.23978106677532196, 10.272238731384277, 0.8736940622329712, 0.8424850106239319, -0.6401766538619995, 0, 
11, 155720051, 1.4695987701416016, 0.08536331355571747, 88.07696533203125, -0.002735593356192112, 0.25986751914024353, 10.288609504699707, 0.8104562759399414, 0.8548175096511841, -0.5714449286460876, 0, 
12, 155736718, 1.4813616275787354, 0.09584271162748337, 88.05815124511719, 0.016883136704564095, 0.24571792781352997, 10.258480072021484, 0.8900349736213684, 0.8859753012657166, -0.6254621744155884, 0, 
13, 155753385, 1.4926949739456177, 0.10566303879022598, 88.05253601074219, 0.007734162267297506, 0.23471499979496002, 10.276758193969727, 0.8736171126365662, 0.879405677318573, -0.6115543842315674, 0, 
14, 155770052, 1.5021225214004517, 0.11434049159288406, 88.00761413574219, -0.006942283362150192, 0.24834629893302917, 10.276602745056152, 0.7974450588226318, 0.8056026101112366, -0.5820357799530029, 0, 
15, 155786719, 1.5128902196884155, 0.12237068265676498, 88.00051879882812, 0.003665782045572996, 0.24614624679088593, 10.2518949508667, 0.8730407953262329, 0.7302373647689819, -0.6177911758422852, 0, 
16, 155803386, 1.5240837335586548, 0.13068410754203796, 87.96758270263672, 0.015226720832288265, 0.24783821403980255, 10.251900672912598, 0.8993322849273682, 0.7416733503341675, -0.6587458252906799, 0, 
17, 155820053, 1.5342092514038086, 0.13996927440166473, 87.99748992919922, -0.00283006951212883, 0.2414238601922989, 10.279279708862305, 0.8326495885848999, 0.8187675476074219, -0.5853142142295837, 0, 
18, 155836720, 1.5457608699798584, 0.1500263512134552, 87.99628448486328, 0.003940919414162636, 0.23844784498214722, 10.281122207641602, 0.9293248057365417, 0.8459554314613342, -0.5949829816818237, 0, 
19, 155853387, 1.5567270517349243, 0.1591782420873642, 88.00264739990234, 0.004183019977062941, 0.246677428483963, 10.260900497436523, 0.9056458473205566, 0.7885830402374268, -0.5801404714584351, 0, 
20, 155870054, 1.5682506561279297, 0.16928119957447052, 87.99933624267578, 3.8111116737127304E-5, 0.24377964437007904, 10.259024620056152, 0.9385069608688354, 0.841742217540741, -0.6506650447845459, 0, 
21, 155886721, 1.578292965888977, 0.18027743697166443, 88.00507354736328, 0.0011897051008418202, 0.22908878326416016, 10.249014854431152, 0.8523329496383667, 0.8882932066917419, -0.6453247666358948, 0, 
22, 155903388, 1.5888140201568604, 0.19181394577026367, 88.0580062866211, 0.004663581028580666, 0.2483307123184204, 10.28001880645752, 0.8972704410552979, 0.9179782867431641, -0.6166000962257385, 0, 
23, 155920055, 1.599240779876709, 0.20174415409564972, 88.0376205444336, 0.0010266868630424142, 0.25012728571891785, 10.269880294799805, 0.8876015543937683, 0.8229423761367798, -0.6007330417633057, 0, 
24, 155936722, 1.6091808080673218, 0.2118891328573227, 87.9992446899414, -0.0013034107396379113, 0.2461666464805603, 10.247896194458008, 0.8541514277458191, 0.8316763639450073, -0.6574395298957825, 0, 
25, 155953389, 1.6193573474884033, 0.22113530337810516, 87.92041778564453, 0.01058635301887989, 0.2691470682621002, 10.264264106750488, 0.8655107021331787, 0.7770700454711914, -0.580153226852417, 0, 
26, 155970056, 1.6296110153198242, 0.23092031478881836, 87.88658905029297, -0.004462568089365959, 0.22137902677059174, 10.273629188537598, 0.852115273475647, 0.816577672958374, -0.5262513160705566, 0, 
27, 155986723, 1.6387839317321777, 0.2393958419561386, 87.92040252685547, 0.012591098435223103, 0.2228575348854065, 10.23343276977539, 0.807421088218689, 0.7318635582923889, -0.5720083713531494, 0, 
28, 156003390, 1.6499836444854736, 0.2502208948135376, 87.90967559814453, 0.012030571699142456, 0.2527332305908203, 10.251493453979492, 0.9432068467140198, 0.8779969215393066, -0.6040371060371399, 0, 
29, 156020057, 1.6605470180511475, 0.26027488708496094, 87.91938781738281, -0.008340873755514622, 0.2712586224079132, 10.274977684020996, 0.8981157541275024, 0.8370167016983032, -0.5729048848152161, 0, 
30, 156036724, 1.671724557876587, 0.2694489061832428, 87.90791320800781, 0.008499317802488804, 0.25214314460754395, 10.277979850769043, 0.9213465452194214, 0.7771341800689697, -0.5987993478775024, 0, 
31, 156053391, 1.6818947792053223, 0.2795276343822479, 87.93399047851562, 0.004319007508456707, 0.24107132852077484, 10.273432731628418, 0.8587489724159241, 0.8352877497673035, -0.5673213005065918, 0, 
32, 156070058, 1.6922410726547241, 0.28910237550735474, 87.912841796875, 0.016528718173503876, 0.23549312353134155, 10.278152465820312, 0.8731945157051086, 0.8029260635375977, -0.6671211123466492, 0, 
33, 156086725, 1.702796220779419, 0.29943129420280457, 87.897216796875, 0.013938886113464832, 0.25004178285598755, 10.279813766479492, 0.8915075659751892, 0.8566744327545166, -0.5779505968093872, 0, 
34, 156103392, 1.7123057842254639, 0.3091067373752594, 87.8753433227539, 0.002367572393268347, 0.24605903029441833, 10.263258934020996, 0.8272069692611694, 0.8192285895347595, -0.6559156775474548, 0, 
35, 156120059, 1.7235581874847412, 0.3191084861755371, 87.87346649169922, 0.01842043176293373, 0.23030802607536316, 10.255293846130371, 0.933397114276886, 0.8395395278930664, -0.5916149616241455, 0, 
36, 156136726, 1.7328473329544067, 0.32858946919441223, 87.89600372314453, 0.015648292377591133, 0.2386966049671173, 10.2680025100708, 0.8221611976623535, 0.8136193752288818, -0.6223373413085938, 0, 
37, 156153393, 1.741916298866272, 0.3384498357772827, 87.86559295654297, 0.0038868531119078398, 0.24936841428279877, 10.274188041687012, 0.8122235536575317, 0.8398340940475464, -0.6175734400749207, 0, 
38, 156170060, 1.7532238960266113, 0.34745562076568604, 87.79512023925781, -0.006861589848995209, 0.25826922059059143, 10.274894714355469, 0.944871723651886, 0.7906320095062256, -0.5535672307014465, 0, 
39, 156186727, 1.7634851932525635, 0.3563770055770874, 87.74578857421875, -0.01575637422502041, 0.24744096398353577, 10.29137897491455, 0.879700243473053, 0.7793623805046082, -0.6276135444641113, 0, 
40, 156203394, 1.7740010023117065, 0.36636883020401, 87.72310638427734, 0.015353812836110592, 0.2297188639640808, 10.254335403442383, 0.8950933814048767, 0.8375673294067383, -0.6344010233879089, 0, 
41, 156220061, 1.7839491367340088, 0.3755600154399872, 87.70852661132812, 0.0064458949491381645, 0.23322619497776031, 10.24779224395752, 0.8665481209754944, 0.7940769195556641, -0.626128077507019, 0, 
42, 156236728, 1.7937133312225342, 0.38592711091041565, 87.69757843017578, -8.98590253200382E-4, 0.24422480165958405, 10.267732620239258, 0.8600807785987854, 0.8674445748329163, -0.5462421178817749, 0, 
43, 156253395, 1.803674578666687, 0.3966072201728821, 87.72032165527344, 0.009298617020249367, 0.24688315391540527, 10.269639015197754, 0.8732969760894775, 0.8853733539581299, -0.5749538540840149, 0, 
44, 156270062, 1.8146922588348389, 0.4055038392543793, 87.71305847167969, 0.014800199307501316, 0.2516242265701294, 10.284293174743652, 0.9380331039428711, 0.7778639793395996, -0.6419950723648071, 0, 
45, 156286729, 1.8252456188201904, 0.41626712679862976, 87.71195983886719, 0.026543496176600456, 0.23583586513996124, 10.258981704711914, 0.9096799492835999, 0.8933134078979492, -0.6428531408309937, 0, 
46, 156303396, 1.8346467018127441, 0.4268961548805237, 87.61908721923828, 0.004441564437001944, 0.24756024777889252, 10.260416984558105, 0.8440088629722595, 0.893146812915802, -0.6243734955787659, 0, 
47, 156320063, 1.84409499168396, 0.43737685680389404, 87.63480377197266, -0.008330516517162323, 0.2354886829853058, 10.272318840026855, 0.8474538922309875, 0.8832091689109802, -0.6431605219841003, 0, 
48, 156336730, 1.8538986444473267, 0.4464608132839203, 87.47669982910156, 0.0043327719904482365, 0.24032211303710938, 10.288899421691895, 0.8720805048942566, 0.8000704050064087, -0.5892073512077332, 0, 
49, 156353397, 1.8637486696243286, 0.45568668842315674, 87.4453125, 0.025165751576423645, 0.24726982414722443, 10.254279136657715, 0.8768314123153687, 0.8108660578727722, -0.5679360032081604, 0, 
50, 156370064, 1.8739567995071411, 0.46499577164649963, 87.39666748046875, 0.01418592594563961, 0.24739313125610352, 10.284363746643066, 0.8995500206947327, 0.8185114860534668, -0.6686579585075378, 0, 
51, 156386731, 1.8841525316238403, 0.47524237632751465, 87.48735809326172, 0.011776485480368137, 0.23724307119846344, 10.28172779083252, 0.9003440141677856, 0.8797770142555237, -0.5797178745269775, 0, 
52, 156403398, 1.8934245109558105, 0.48480623960494995, 87.43133544921875, 0.009301030077040195, 0.24425114691257477, 10.263299942016602, 0.8483886122703552, 0.8406664729118347, -0.6289710998535156, 0, 
53, 156420065, 1.903699517250061, 0.4943400025367737, 87.4201431274414, 0.01225042250007391, 0.23330406844615936, 10.277236938476562, 0.911626398563385, 0.8400261998176575, -0.6465798020362854, 0, 
54, 156436732, 1.9134491682052612, 0.5039588809013367, 87.40926361083984, 0.016260111704468727, 0.23860731720924377, 10.258914947509766, 0.8824792504310608, 0.8493490815162659, -0.5853782892227173, 0, 
55, 156453399, 1.9224767684936523, 0.5133556723594666, 87.36302185058594, 0.008152728900313377, 0.24752505123615265, 10.252279281616211, 0.8429076075553894, 0.8412299752235413, -0.5470616817474365, 0, 
56, 156470066, 1.9325156211853027, 0.5225321650505066, 87.35707092285156, 0.014411392621695995, 0.24244603514671326, 10.28908634185791, 0.9046598672866821, 0.8298450708389282, -0.5768876075744629, 0, 
57, 156486733, 1.941876769065857, 0.5319551229476929, 87.26373291015625, 0.01895902305841446, 0.25086018443107605, 10.300950050354004, 0.8671371340751648, 0.8457633852958679, -0.6133344769477844, 0, 
58, 156503400, 1.950383186340332, 0.5413719415664673, 87.26288604736328, 0.0043703122064471245, 0.24608518183231354, 10.251373291015625, 0.8185626268386841, 0.8473384976387024, -0.6964733600616455, 0, 
59, 156520067, 1.9598965644836426, 0.5504533052444458, 87.23497009277344, 0.00528327701613307, 0.24340927600860596, 10.264270782470703, 0.8789573907852173, 0.8341095447540283, -0.5418366193771362, 0, 
60, 156536734, 1.9694737195968628, 0.5591459274291992, 87.21675109863281, 0.008152203634381294, 0.24713186919689178, 10.274344444274902, 0.8871279358863831, 0.8097262978553772, -0.6276392340660095, 0, 
61, 156553401, 1.9790266752243042, 0.5680642127990723, 87.19132995605469, 0.012054587714374065, 0.23449677228927612, 10.288365364074707, 0.887921929359436, 0.826041579246521, -0.6359761357307434, 0, 
62, 156570068, 1.9874368906021118, 0.5774776339530945, 87.17695617675781, 0.02623532898724079, 0.25327539443969727, 10.25625228881836, 0.8227119445800781, 0.859555721282959, -0.6023339033126831, 0, 
63, 156586735, 1.9953484535217285, 0.5876278877258301, 87.16378784179688, 0.01731085032224655, 0.25095778703689575, 10.251599311828613, 0.7953062653541565, 0.9086552858352661, -0.5939329266548157, 0, 
64, 156603402, 2.0038352012634277, 0.5970940589904785, 87.14823913574219, 0.010644558817148209, 0.23645953834056854, 10.282901763916016, 0.831701934337616, 0.8718626499176025, -0.6080838441848755, 0, 
65, 156620069, 2.0130863189697266, 0.6061784625053406, 87.1339111328125, -6.82448036968708E-4, 0.22395777702331543, 10.2710542678833, 0.882620096206665, 0.848388671875, -0.7041956186294556, 0, 
66, 156636736, 2.0219926834106445, 0.6154780983924866, 87.10726928710938, 0.01548600010573864, 0.25711554288864136, 10.272614479064941, 0.8669451475143433, 0.8672011494636536, -0.6053048968315125, 0, 
67, 156653403, 2.0310966968536377, 0.6217050552368164, 87.08753204345703, 0.018293257802724838, 0.2465219646692276, 10.291186332702637, 0.8813650608062744, 0.6859272718429565, -0.6281899213790894, 0, 
68, 156670070, 2.0393781661987305, 0.629608154296875, 87.05664825439453, 0.010423067957162857, 0.23648083209991455, 10.259204864501953, 0.8351917266845703, 0.7885894775390625, -0.6688437461853027, 0, 
69, 156686737, 2.048264741897583, 0.6380718946456909, 87.05355072021484, 0.004098391160368919, 0.24552541971206665, 10.267199516296387, 0.8749874234199524, 0.8307543396949768, -0.5639659762382507, 0, 
70, 156703404, 2.0574963092803955, 0.6461595892906189, 87.02973175048828, 0.006706528831273317, 0.24231740832328796, 10.296643257141113, 0.8995628356933594, 0.8072930574417114, -0.6381403803825378, 0, 
71, 156720071, 2.066415786743164, 0.6554469466209412, 87.00055694580078, -0.011463699862360954, 0.23486295342445374, 10.258943557739258, 0.8853093385696411, 0.8824151158332825, -0.6569784879684448, 0, 
72, 156736738, 2.0757765769958496, 0.6640315055847168, 86.99310302734375, -5.975899985060096E-4, 0.23885950446128845, 10.269170761108398, 0.9163007140159607, 0.8429075479507446, -0.6112470626831055, 0, 
73, 156753405, 2.0845723152160645, 0.6721131205558777, 86.96946716308594, 0.018727261573076248, 0.22844476997852325, 10.285326957702637, 0.8875632286071777, 0.8134272694587708, -0.6743567585945129, 0, 
74, 156770072, 2.092517375946045, 0.6805870532989502, 87.01718139648438, -0.005883647128939629, 0.23629102110862732, 10.282934188842773, 0.8412683010101318, 0.8461219668388367, -0.5660790801048279, 0, 
75, 156786739, 2.101123332977295, 0.6875124573707581, 87.07315826416016, -0.00564324576407671, 0.24616481363773346, 10.280029296875, 0.8867436051368713, 0.752405047416687, -0.6270372271537781, 0, 
76, 156803406, 2.1089794635772705, 0.6935067772865295, 87.06159210205078, 0.0032750172540545464, 0.2379329651594162, 10.275813102722168, 0.8470439314842224, 0.698772132396698, -0.6342601180076599, 0, 
77, 156820073, 2.1165666580200195, 0.7001521587371826, 87.02019500732422, 0.018854640424251556, 0.24390926957130432, 10.255878448486328, 0.834711492061615, 0.7410202622413635, -0.6634842753410339, 0, 
78, 156836740, 2.1253397464752197, 0.7078375816345215, 87.01521301269531, 0.025363504886627197, 0.25414830446243286, 10.270490646362305, 0.9107107520103455, 0.8102192878723145, -0.6019753217697144, 0, 
79, 156853407, 2.1334376335144043, 0.7134215831756592, 87.00605010986328, -0.002955283969640732, 0.23613134026527405, 10.297819137573242, 0.8729895949363708, 0.6911394596099854, -0.5978644490242004, 0, 
80, 156870074, 2.1427202224731445, 0.720774233341217, 86.98688507080078, 0.007630442269146442, 0.24703076481819153, 10.252964973449707, 0.9501607418060303, 0.7998014092445374, -0.6072387099266052, 0, 
81, 156886741, 2.151397943496704, 0.7289060950279236, 86.9927978515625, 0.015259799547493458, 0.24902842938899994, 10.253114700317383, 0.9182472229003906, 0.8499509692192078, -0.6490641832351685, 0, 
82, 156903408, 2.158379316329956, 0.736312747001648, 86.95894622802734, 0.010465861298143864, 0.24666652083396912, 10.270522117614746, 0.8205348253250122, 0.8128126263618469, -0.6045749187469482, 0, 
83, 156920075, 2.1660399436950684, 0.7438278198242188, 86.94612121582031, 0.0037930039688944817, 0.23608195781707764, 10.263330459594727, 0.8662406802177429, 0.8247608542442322, -0.5944066643714905, 0, 
84, 156936742, 2.173064947128296, 0.7519242763519287, 86.92109680175781, 0.012579577974975109, 0.2456444799900055, 10.241374015808105, 0.8330850005149841, 0.8647422194480896, -0.5886310338973999, 0, 
85, 156953409, 2.181164503097534, 0.7606049180030823, 86.9072494506836, 0.014580647461116314, 0.25995713472366333, 10.275955200195312, 0.9020857214927673, 0.9058123230934143, -0.5547582507133484, 0, 
86, 156970076, 2.1888937950134277, 0.7699591517448425, 86.8916015625, 0.012765390798449516, 0.23101413249969482, 10.255552291870117, 0.88482266664505, 0.9512491822242737, -0.5833291411399841, 0, 
87, 156986743, 2.1941628456115723, 0.7784824967384338, 86.87749481201172, 0.013750828802585602, 0.2559479773044586, 10.267900466918945, 0.7439401149749756, 0.904467761516571, -0.6359633207321167, 0, 
