sep=,
DeviceTag:,Xsens_1,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.0.0,,,,,,,,,,,,,,,,,
StartTime:,2023-07-05 17:04:18.000 +0200,,,,,,,,,,,,,,,,,
© Movella Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Status,
0, 271697958, 0.64775044, 0.055498634, -0.7174003, 0.25035208, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.86572265625, 0.70556640625, -0.190185546875, 0, 
1, 271714625, 0.6483307, 0.055811245, -0.7171277, 0.2495605, 9.4727201461792, -2.856909990310669, -0.38247567415237427, -0.08498293906450272, 3.298729658126831, 0.6181432604789734, -0.868896484375, 0.707275390625, -0.192138671875, 0, 
2, 271731292, 0.64849174, 0.055682927, -0.71708584, 0.24929076, 9.487137794494629, -2.894136905670166, -0.35965967178344727, -0.14154858887195587, 2.550506114959717, 0.4579358994960785, -0.86572265625, 0.7060546875, -0.190673828125, 0, 
3, 271747959, 0.64858085, 0.055140864, -0.71705365, 0.24927208, 9.441267967224121, -2.7785866260528564, -0.360733300447464, -0.22690288722515106, 2.143110513687134, 0.7428002953529358, -0.866943359375, 0.70556640625, -0.194091796875, 0, 
4, 271764626, 0.6485411, 0.05507163, -0.7170744, 0.24933128, 9.410889625549316, -2.7033755779266357, -0.37647730112075806, -0.3319021463394165, 1.0538793802261353, 0.8191004991531372, -0.865234375, 0.707275390625, -0.194091796875, 0, 
5, 271781293, 0.6485261, 0.055097368, -0.7171502, 0.24914648, 9.435758590698242, -2.7351341247558594, -0.3558669090270996, -0.649717390537262, 0.6459074020385742, 0.922076404094696, -0.863037109375, 0.702880859375, -0.194091796875, 0, 
6, 271797960, 0.64855814, 0.05519603, -0.71716624, 0.24899472, 9.475016593933105, -2.812781572341919, -0.31661614775657654, -1.1655315160751343, 0.9980309009552002, 0.8510395884513855, -0.864013671875, 0.70556640625, -0.194580078125, 0, 
7, 271814627, 0.6486719, 0.05518566, -0.7171056, 0.2488755, 9.47538948059082, -2.849510908126831, -0.32103291153907776, -1.1474617719650269, 1.2399300336837769, 0.6553841829299927, -0.863525390625, 0.704345703125, -0.193115234375, 0, 
8, 271831294, 0.64876163, 0.05515556, -0.717032, 0.24886023, 9.465802192687988, -2.8231005668640137, -0.319108247756958, -0.2123676836490631, 0.824261486530304, 0.5425857901573181, -0.867431640625, 0.70556640625, -0.19287109375, 0, 
9, 271847961, 0.6487817, 0.055217177, -0.71697706, 0.24895243, 9.438143730163574, -2.7888906002044678, -0.33787089586257935, 0.7698088884353638, 0.1379563957452774, 0.461764931678772, -0.8662109375, 0.70556640625, -0.194580078125, 0, 
10, 271864628, 0.64875096, 0.055387523, -0.71693355, 0.24911985, 9.476983070373535, -2.7723617553710938, -0.28314393758773804, 1.1861945390701294, -0.13948674499988556, 0.3531670868396759, -0.8681640625, 0.706298828125, -0.197265625, 0, 
11, 271881295, 0.6487369, 0.055616144, -0.71686643, 0.24929853, 9.48779582977295, -2.7853527069091797, -0.30339112877845764, 0.9089755415916443, -0.07181800901889801, 0.1940482258796692, -0.865234375, 0.7060546875, -0.194580078125, 0, 
12, 271897962, 0.64877367, 0.0557098, -0.71682686, 0.24929556, 9.505248069763184, -2.788254499435425, -0.3169056177139282, 0.402420312166214, -0.13985814154148102, -0.055246587842702866, -0.86865234375, 0.706298828125, -0.1982421875, 0, 
13, 271914629, 0.64872885, 0.055898074, -0.7168505, 0.2493023, 9.482603073120117, -2.766993761062622, -0.33999359607696533, -0.1728729009628296, -0.6676334142684937, -0.2820342481136322, -0.86474609375, 0.7060546875, -0.194580078125, 0, 
14, 271931296, 0.6487345, 0.055911, -0.71693027, 0.24905573, 9.524853706359863, -2.763789653778076, -0.31261807680130005, -0.8627894520759583, -0.809194803237915, -0.6425714492797852, -0.865966796875, 0.705078125, -0.197265625, 0, 
15, 271947963, 0.6487283, 0.05610036, -0.71696943, 0.24891596, 9.497923851013184, -2.7932791709899902, -0.3129926025867462, -1.3318220376968384, -0.40601250529289246, -0.929894745349884, -0.865234375, 0.70458984375, -0.194580078125, 0, 
16, 271964630, 0.6487747, 0.056188077, -0.7169936, 0.24870582, 9.470309257507324, -2.8301329612731934, -0.34607240557670593, -0.8964571952819824, -0.30237072706222534, -0.9464532136917114, -0.866943359375, 0.702392578125, -0.194091796875, 0, 
17, 271981297, 0.6487639, 0.05632339, -0.7170483, 0.24854547, 9.455451011657715, -2.8062868118286133, -0.33252114057540894, -0.19191595911979675, -0.8062493801116943, -0.9930811524391174, -0.86669921875, 0.706787109375, -0.193359375, 0, 
18, 271997964, 0.6486877, 0.05656383, -0.71711123, 0.24850824, 9.45785140991211, -2.7306504249572754, -0.30359265208244324, 0.21493536233901978, -1.075490117073059, -0.9019639492034912, -0.866455078125, 0.703369140625, -0.195068359375, 0, 
19, 272014631, 0.6486365, 0.056797046, -0.71716034, 0.2484467, 9.454704284667969, -2.738168954849243, -0.28163012862205505, 0.20789188146591187, -0.9524466395378113, -0.987113356590271, -0.8701171875, 0.702392578125, -0.19384765625, 0, 
20, 272031298, 0.6485988, 0.057049632, -0.71718967, 0.24840315, 9.490156173706055, -2.765676975250244, -0.27925407886505127, 0.33343255519866943, -0.8532999753952026, -1.0202691555023193, -0.867919921875, 0.70458984375, -0.19287109375, 0, 
21, 272047965, 0.64856625, 0.05722168, -0.717238, 0.24830875, 9.505586624145508, -2.7885496616363525, -0.29348623752593994, 0.09862810373306274, -0.9557891488075256, -0.8832796216011047, -0.870849609375, 0.701904296875, -0.196044921875, 0, 
22, 272064632, 0.6485563, 0.057345673, -0.71727437, 0.24820143, 9.511604309082031, -2.7813305854797363, -0.25686347484588623, -0.37120485305786133, -0.672999382019043, -0.7768332362174988, -0.86865234375, 0.700927734375, -0.193359375, 0, 
23, 272081299, 0.64855754, 0.057461217, -0.71730286, 0.24808876, 9.490267753601074, -2.7654201984405518, -0.27269893884658813, -0.5260335803031921, -0.5910002589225769, -0.804981529712677, -0.871826171875, 0.701904296875, -0.19384765625, 0, 
24, 272097966, 0.64855003, 0.057577237, -0.71733993, 0.2479742, 9.496482849121094, -2.758579730987549, -0.3086741864681244, -0.3653523325920105, -0.7499910593032837, -0.8203362822532654, -0.870849609375, 0.703125, -0.193359375, 0, 
