"sep=,",,,,,,,,,,,,,,,
"DeviceTag:,Xsens_3,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,
"FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,
"AppVersion:,2023.0.0,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,
"StartTime:,2023-07-17 14:57:19.000 +0200,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,
"© Movella Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Status
0,1113944863,1.47196168001604e-17,-1.56206908802492e-16,0.707106781186547,0.707106781186548,0,0,0,0,0,0,0.9697265625,-0.00903320312499995,-0.4638671875,0
1,1113961530,0.00028430999954854,0.000323743286749934,0.70754458097554,0.706668578819135,-9.14484266090057,-0.774588890117672,-3.95626171516149,-0.736798748937421,0.415807757201729,-4.62169999666808,0.969305627414987,-0.000837332082512507,-0.467468347806456,0
2,1113978197,0.000512259360627225,0.000658771586573831,0.707983329821574,0.706228651574758,-9.11040580704982,-0.806605632408653,-3.9919802969442,-0.747133249078391,0.21683007402351,-4.58043476704768,0.96752139378057,0.00768218650809467,-0.464044441365428,0
3,1113994864,0.000640720559940513,0.000937809605818518,0.708367136874196,0.705843261203903,-9.04592239186869,-0.869524128946373,-3.97835732567116,-1.23957562156181,-0.110614970847018,-4.10264941707318,0.970673644593067,0.0179657162345375,-0.460505012525504,0
4,1114011531,0.000896654557774434,0.0012402769912098,0.708694469903741,0.705513859574314,-8.99979146483404,-0.934164738681349,-3.8826121434466,-0.547400423558279,-0.290744940204322,-3.48278869176437,0.96947749927975,0.0226961897605213,-0.461743887852583,0
5,1114028198,0.00137591479161164,0.00149127411378748,0.708732048080084,0.705474852127426,-8.99672990052237,-0.94929445619775,-3.86324627450951,0.989295651839454,-0.243265195760941,-3.40956667726192,0.967964164300554,0.0251717959878254,-0.464677061660285,0
6,1114044865,0.00193161157622096,0.00166797220706902,0.708734529065181,0.705470661371676,-9.01754783895584,-0.963900262745574,-3.91182648898797,1.36790985916574,-0.345277209416755,-2.87407685553854,0.970817714931627,0.0249556386732824,-0.465839239800727,0
7,1114061532,0.00241490591250809,0.00183526262346045,0.708738251748876,0.705465017239327,-9.05274595550636,-0.941442681327846,-3.91137137555552,0.896795388166532,-0.393570562945959,-2.56993177589301,0.969341346665497,0.024960994663426,-0.466619152130587,0
8,1114078199,0.00279381852521243,0.00194658992647375,0.708761687446409,0.705439774731922,-9.08871692594598,-1.01033309821022,-3.856827585098,0.353897987405932,-0.375517520970422,-2.30668363043061,0.967655995846492,0.0277225888161902,-0.468646322087143,0
9,1114094866,0.00321736295042776,0.00206342829215531,0.708804821722482,0.705394297923005,-9.07836958456759,-1.03801329406898,-3.82793011342618,0.535584730908211,-0.308035194808711,-2.25139274601167,0.965922621041705,0.0296670800532585,-0.469112194593187,0
10,1114111533,0.00361382857731955,0.00215399552994469,0.708875390151459,0.705321190511024,-9.01000610196713,-1.08333066575596,-3.7834575408169,0.283952752421838,-0.210654096834842,-1.83231811075361,0.96499756400187,0.0285942945193045,-0.471563118133682,0
11,1114128200,0.00392639413003795,0.0021899576582733,0.708985826745174,0.705208398268947,-8.90061357663843,-1.0959551026553,-3.74317410071137,-0.594379819302433,-0.154240940927886,-1.08737560792374,0.96572804239192,0.0299809596538831,-0.476651091026687,0
12,1114144867,0.00413897514997076,0.00217019966434784,0.709167498024697,0.705024551957955,-8.80451956833622,-1.15169348314049,-3.6959246435258,-0.952454498818664,-0.0865516258338849,0.0217614585955011,0.96278237087494,0.0296927386763515,-0.477955370077501,0
13,1114161534,0.00425242721448421,0.00208707915623806,0.709245846267412,0.704945310301305,-8.78820531862763,-1.16821775496875,-3.64727122462194,-0.0499816411752769,-0.0871902212915094,1.05353971828611,0.963656045126568,0.028373750611763,-0.482379135735772,0
14,1114178201,0.00430523980922516,0.00192901283628285,0.7091093457955,0.705082746580244,-8.84880109875969,-1.14386161820625,-3.647817693282,1.56874067724768,-0.255904825450903,1.64545583612277,0.961501933624689,0.0308812932098993,-0.484806763956304,0
15,1114194868,0.00440119706285659,0.00168580990232471,0.708970431582231,0.705222457563209,-8.93256358472227,-1.16032839745199,-3.7066329144423,1.93110401274729,-0.930790626686697,1.91788953797258,0.961690156522232,0.0290161332013257,-0.487421405631919,0
16,1114211535,0.00453634321174225,0.00130254128609036,0.708831613956897,0.705361941156257,-8.98848207910905,-1.17677031136365,-3.77301582048434,1.62456155959169,-1.9888483911847,2.15008425060703,0.96261409833251,0.0285799891188743,-0.484240925047235,0
17,1114228202,0.00479057402362193,0.000842694900287536,0.708752791792192,0.705440160745476,-8.99144800734237,-1.22115429565392,-3.82433684750995,1.13918859027905,-3.15802117207962,1.84838309549177,0.960876989175308,0.0259771667749801,-0.488197169607979,0
18,1114244869,0.0051704352110179,0.000280977271172556,0.70870577371069,0.705485162112311,-8.96650073319894,-1.24408418882542,-3.88694445241522,0.465280839985113,-4.55531457644314,1.50450324985145,0.960491145621786,0.025458052998512,-0.4858467297356,0
19,1114261536,0.00568116606770507,-0.000313316143428644,0.708787736111335,0.705398873916931,-8.92682068576428,-1.28024796723324,-3.92726332338825,-0.423545888948072,-5.62492301225791,1.11378124947881,0.959278012741792,0.0253012466418155,-0.490592481662719,0
20,1114278203,0.00629746529786324,-0.000905813712865221,0.709033715805417,0.705145879434534,-8.90491709235599,-1.29151099665916,-3.9040453426948,-1.63787037971953,-6.4213940518019,0.703395746869346,0.961820092969671,0.027598578259335,-0.48836913040358,0
21,1114294870,0.00697755113671054,-0.00144964549898384,0.709370958529137,0.704799301577063,-8.78278878867073,-1.30658710352135,-3.86471312063397,-2.51783864834422,-6.72684451144221,0.10887823715437,0.961755920127908,0.0252414961857211,-0.488627839601963,0
22,1114311537,0.0076244596268672,-0.00187134265130712,0.709617952473568,0.704542920778643,-8.7193093798136,-1.29431977235231,-3.87231742703359,-2.53495317293311,-6.21819543889706,-0.748992831758267,0.964438617466345,0.0298959157306882,-0.490806180647086,0
23,1114328204,0.00833829185678049,-0.0021062736313637,0.709919420419996,0.704230397675958,-8.74410564726595,-1.28108586917558,-3.90174635247099,-2.2462337822605,-5.71281855977201,-1.71766225117148,0.964571825651993,0.0314582080301921,-0.490952908356709,0
24,1114344871,0.00913293845132934,-0.00216819781634532,0.710222330300979,0.703914859834143,-8.89361426291414,-1.24258062641128,-3.97274724609663,-2.49716026585009,-5.4489591779634,-3.17947119367184,0.966586612240314,0.0339096142124729,-0.488503780310422,0
25,1114361538,0.0100315799282631,-0.00208441159685172,0.710664490120277,0.703456469950006,-9.07060581492917,-1.26749558024685,-4.0682332124151,-3.95455879494459,-5.45729960277646,-4.62663191574227,0.967322172570112,0.0428749300831434,-0.489797613133825,0
26,1114378205,0.0110484055089345,-0.00191597718127153,0.711348017374611,0.702750496224913,-9.2264306328878,-1.33746340936063,-4.11742279131232,-6.17690864253988,-5.85325739672409,-5.75323247762972,0.964321196534259,0.0545061220820785,-0.489576422670883,0
27,1114394872,0.0121233153185567,-0.00171408133823947,0.712226778919192,0.701842647992587,-9.32925782755595,-1.46757639564387,-4.12140114633468,-8.15829541047463,-6.19387608360461,-6.40027094044116,0.965850117829595,0.0623106967727986,-0.490503030166903,0
28,1114411539,0.0131549016479437,-0.00155597432250861,0.713277457932094,0.700756587919421,-9.34172538573357,-1.61096676804399,-4.11848056910416,-9.76731518421218,-6.34257110458933,-6.07709082214281,0.968213335793227,0.0732535136734739,-0.491918403092537,0
29,1114428206,0.0140555447404049,-0.00139481927896452,0.714474593203093,0.699518800182314,-9.29147706203796,-1.7322916232779,-4.06495335003434,-11.2254612873244,-5.80554923039342,-5.5498776775224,0.967145871103064,0.0876040616743186,-0.488335088780864,0
30,1114444873,0.0146695770663791,-0.00124130240666642,0.715767745534127,0.698183211721696,-9.28222182343636,-1.81720913836211,-4.04044281527743,-12.5840869604446,-4.55387551144713,-4.30050887208444,0.964168343598418,0.1051428952239,-0.488545026616676,0
31,1114461540,0.0149283080980646,-0.00102479753319378,0.717089147408387,0.696820816334055,-9.30378559632879,-1.9072977484558,-4.04035472215101,-12.7434973496723,-2.46203895758244,-2.68049319266733,0.965937143663573,0.123872735781876,-0.488122308639895,0
32,1114478207,0.0148120075529436,-0.000697760923448341,0.718381298616408,0.695491500566433,-9.3557732372945,-1.93925783627109,-4.08795160833651,-12.7161256419354,-0.0552911166937975,-1.18863417778994,0.968741655338593,0.134634521931789,-0.483208316093787,0
33,1114494874,0.0143252978822103,-0.000265040653098598,0.71976600110797,0.694068886525739,-9.32960003238402,-1.92712444721612,-4.24547114548836,-14.2930045223327,2.04957559900781,0.207463841209768,0.96501148735374,0.150513222075075,-0.481312586505453,0
34,1114511541,0.0135696921724157,0.000244837357689912,0.721454185208035,0.692329157377346,-9.30642290493539,-1.85619174673304,-4.39094100418989,-17.4286863555257,3.28118863544352,1.45730326213047,0.96752141864648,0.164169801685953,-0.47207870338977,0
35,1114528208,0.0126477415629794,0.00086652668209623,0.723401313485401,0.690311395974645,-9.27227736713114,-1.73878074653112,-4.39154309784584,-20.3349534393008,4.21044606531911,1.93004665296425,0.970076367735895,0.173514039641807,-0.464845550142083,0
36,1114544875,0.0116015891408558,0.00159811128463464,0.725473180231103,0.688150793020758,-9.25449490105794,-1.65920463523092,-4.41079779860526,-21.8566408360767,5.1556988494638,2.22236620700086,0.968630765517369,0.179484346756727,-0.461497775305081,0
37,1114561542,0.0105306835031225,0.00238495534013779,0.727535556354004,0.685985007805311,-9.15491690685328,-1.58123524737907,-4.43453694380707,-22.264216294788,5.53514635576353,2.11698218691219,0.97204982440883,0.189281894019007,-0.45463119109464,0
38,1114578209,0.00943973018424384,0.00325875416959002,0.729698167705901,0.683696464859928,-8.75301902488449,-1.48416611606482,-4.4381920928227,-23.1987996719158,6.033295163348,2.14611080089622,0.969767101573932,0.193116221032095,-0.451844510340897,0
39,1114594876,0.0082374735953263,0.00415000967949755,0.731900882065279,0.681348677462937,-8.37920798614554,-1.39293470883313,-4.32238399790657,-24.1404518165193,6.45935823108876,2.74867645471533,0.971322754381775,0.199559339203608,-0.446592378529132,0
40,1114611543,0.00708976544640349,0.00509829468931135,0.734031526040624,0.679059247338293,-8.1493818160189,-1.24169897147691,-4.15772951251522,-23.4868503328087,6.64346901712505,2.52005585988053,0.972148313958509,0.204206319499831,-0.445418062903957,0
41,1114628210,0.00616320837827417,0.00606978311506743,0.736215554874023,0.676691827464288,-8.11624089089986,-1.09750603098054,-4.23699740956275,-24.1139285573142,5.94167764144374,1.36635635192903,0.968347901979396,0.206461924833411,-0.440994163979403,0
42,1114644877,0.0056226547021323,0.00701624247742067,0.73878242081982,0.673884035115245,-8.31940937327773,-0.902049407863452,-4.49994275563262,-28.0137387298663,4.11921842192193,-0.70195645322046,0.970345694583433,0.210299210503792,-0.441436480887167,0
43,1114661544,0.00572539630609226,0.00788071945471828,0.742287106848922,0.670011167894887,-8.68347234587988,-0.661355510322516,-4.78142878671652,-37.4591421062596,0.699144953618084,-4.24760935776247,0.971288805425098,0.214051229333097,-0.440956732855822,0
44,1114678211,0.00656766010590289,0.0085488441338275,0.747084005262701,0.664642213664879,-8.99277433698262,-0.560222446248523,-4.88276204047911,-50.9945645232973,-3.75435485233617,-8.18344599375687,0.970446091384462,0.213930812656595,-0.442444731228478,0
45,1114694878,0.00807736111579601,0.00893546749838674,0.75317353188587,0.657711596769096,-8.97968367103488,-0.496421565207669,-4.91406772302954,-64.8151718775277,-8.02642899129422,-11.2024092714358,0.96906728281108,0.211123833513558,-0.447758121546282,0
46,1114711545,0.0101080157908908,0.00916361272042776,0.760040850789365,0.649732068894602,-8.758109061869,-0.460008676200917,-4.54205739303064,-73.8963288344302,-10.3689462438462,-13.4206095106156,0.970443278889713,0.211648701394364,-0.450253902891851,0
47,1114728212,0.0125856194302364,0.00916927768097656,0.766935360501288,0.641535407708044,-8.46855407669754,-0.439972358384607,-4.07397674040119,-75.4756239071852,-12.0999581461231,-14.7647789026214,0.970845808599238,0.206215624944265,-0.46085092353718,0
48,1114744879,0.0153568117822374,0.00920852402787645,0.773033364997883,0.634112598847525,-8.28244158599651,-0.290399832655146,-3.84037693350893,-68.260358776058,-11.3118426381821,-15.9091897315044,0.967177012024005,0.206089401525447,-0.472250190164851,0
49,1114761546,0.0182227462666821,0.00927828157977134,0.778175257441743,0.627714197477565,-8.24998162042245,0.0062795024026232,-3.71411138776524,-59.1885973785441,-10.0451363800065,-16.0444208288284,0.967661001110645,0.201669161849862,-0.483856908907465,0
50,1114778213,0.0213448082260114,0.00943114304959194,0.782921749634727,0.621682384060761,-8.36699345125512,0.327054084648492,-3.78068431947551,-54.1682058492025,-9.36117962197732,-16.5811257006209,0.96613958588554,0.190682882332914,-0.498400603169347,0
51,1114794880,0.024836073289038,0.00962239488293237,0.787486569271979,0.615756024896668,-8.58686659077773,0.602634711565264,-3.78362609766287,-53.3715251746674,-9.19709912844849,-18.3895448285147,0.963666601347993,0.189341216332895,-0.511798874378493,0
52,1114811547,0.0289045322371318,0.00969790797403248,0.792064583313528,0.609675466504473,-8.69715105185659,0.785243606380803,-3.69906187784025,-54.9776073051382,-10.501733244889,-20.9867815136531,0.963550092024739,0.184660597198497,-0.526939493509207,0
53,1114828214,0.0339532079303039,0.0097906279667395,0.796928378783498,0.603039370493141,-8.89934903916689,0.925095626636512,-3.87550447105743,-60.30439142445,-11.7494161270442,-26.2098224291888,0.954897730863083,0.18614381507202,-0.540472320221625,0
54,1114844881,0.0399763886423247,0.00995566385029792,0.80242080125294,0.595334889641962,-9.18210853467796,1.13057548826812,-3.868009881871,-70.0371468053757,-12.1491308778024,-31.017142860172,0.954185569068161,0.188123231352085,-0.553655169760277,0
55,1114861548,0.0466802425954417,0.0101240938833069,0.808943360207016,0.585942913304064,-9.2819125143096,1.13801609066131,-3.65752020447196,-84.6700170334864,-11.5176677433015,-33.0424059849585,0.953232331543914,0.193547029240344,-0.565358531850129,0
56,1114878215,0.0542448645789158,0.0103849226679603,0.816085345333484,0.575286326258433,-9.22193693297778,1.15646354780655,-3.43348753698508,-95.543518394198,-10.4128286365192,-36.7389823531868,0.955616940259766,0.198104556867105,-0.574721128201766,0
