sample;time;position_x;position_y;position_z
126;2.08333333;-0.111697;1.4037952;-0.214548
127;2.1;-0.111697;1.4037952;-0.214548
128;2.11666667;-0.111697;1.4037952;-0.214548
129;2.13333333;-0.111697;1.4037952;-0.214548
130;2.15;-0.111697;1.4037952;-0.214548
131;2.16666667;-0.111697;1.4037952;-0.214548
132;2.18333333;-0.111697;1.4037952;-0.214548
133;2.2;-0.111697;1.4037952;-0.214548
134;2.21666667;-0.111697;1.4037952;-0.214548
135;2.23333333;-0.111697;1.4037952;-0.214548
136;2.25;-0.111697;1.4037952;-0.214548
137;2.26666667;-0.111697;1.4037952;-0.214548
138;2.28333333;-0.111697;1.4037952;-0.214548
139;2.3;-0.111697;1.4037952;-0.214548
140;2.31666667;-0.111697;1.4037952;-0.214548
141;2.33333333;-0.111697;1.4037952;-0.214548
142;2.35;-0.111697;1.4037952;-0.214548
143;2.36666667;-0.111697;1.4037952;-0.214548
144;2.38333333;-0.111697;1.4037952;-0.214548
145;2.4;-0.111697;1.4037952;-0.214548
146;2.41666667;-0.111697;1.4037952;-0.214548
147;2.43333333;-0.111697;1.4037952;-0.214548
148;2.45;-0.111697;1.4037952;-0.214548
149;2.46666667;-0.111697;1.4037952;-0.214548
150;2.48333333;-0.111697;1.4037952;-0.214548
151;2.5;-0.111697;1.4037952;-0.214548
152;2.51666667;-0.111697;1.4037952;-0.214548
153;2.53333333;-0.111697;1.4037952;-0.214548
154;2.55;-0.111697;1.4037952;-0.214548
155;2.56666667;-0.111697;1.4037952;-0.214548
156;2.58333333;-0.111697;1.4037952;-0.214548
157;2.6;-0.111697;1.4037952;-0.214548
158;2.61666667;-0.111697;1.4037952;-0.214548
159;2.63333333;-0.111697;1.4037952;-0.214548
160;2.65;-0.111697;1.4037952;-0.214548
161;2.66666667;-0.111697;1.4037952;-0.214548
162;2.68333333;-0.111697;1.4037952;-0.214548
163;2.7;-0.111697;1.4037952;-0.214548
164;2.71666667;-0.111697;1.4037952;-0.214548
165;2.73333333;-0.111697;1.4037952;-0.214548
166;2.75;-0.111697;1.4037952;-0.214548
167;2.76666667;-0.111697;1.4037952;-0.214548
168;2.78333333;-0.111697;1.4037952;-0.214548
169;2.8;-0.111697;1.4037952;-0.214548
170;2.81666667;-0.111697;1.4037952;-0.214548
171;2.83333333;-0.111697;1.4037952;-0.214548
172;2.85;-0.111697;1.4037952;-0.214548
173;2.86666667;-0.111697;1.4037952;-0.214548
174;2.88333333;-0.111697;1.4037952;-0.214548
175;2.9;-0.111697;1.4037952;-0.214548
176;2.91666667;-0.111697;1.4037952;-0.214548
177;2.93333333;-0.111697;1.4037952;-0.214548
178;2.95;-0.111697;1.4037952;-0.214548
179;2.96666667;-0.111697;1.4037952;-0.214548
180;2.98333333;-0.111697;1.4037952;-0.214548
181;3;-0.111697;1.4037952;-0.214548
182;3.01666667;-0.111697;1.4037952;-0.214548
183;3.03333333;-0.111697;1.4037952;-0.214548
184;3.05;-0.111697;1.4037952;-0.214548
185;3.06666667;-0.111697;1.4037952;-0.214548
186;3.08333333;-0.111697;1.4037952;-0.214548
187;3.1;-0.111697;1.4037952;-0.214548
188;3.11666667;-0.111697;1.4037952;-0.214548
189;3.13333333;-0.111697;1.4037952;-0.214548
190;3.15;-0.111697;1.4037952;-0.214548
191;3.16666667;-0.111697;1.4037952;-0.214548
192;3.18333333;-0.111697;1.4037952;-0.214548
193;3.2;-0.111697;1.4037952;-0.214548
194;3.21666667;-0.111697;1.4037952;-0.214548
195;3.23333333;-0.111697;1.4037952;-0.214548
196;3.25;-0.111697;1.4037952;-0.214548
197;3.26666667;-0.111697;1.4037952;-0.214548
198;3.28333333;-0.111697;1.4037952;-0.214548
199;3.3;-0.111697;1.4037952;-0.214548
200;3.31666667;-0.111697;1.4037952;-0.214548
201;3.33333333;-0.111697;1.4037952;-0.214548
202;3.35;-0.111697;1.4037952;-0.214548
203;3.36666667;-0.111697;1.4037952;-0.214548
204;3.38333333;-0.111697;1.4037952;-0.214548
205;3.4;-0.111697;1.4037952;-0.214548
206;3.41666667;-0.111697;1.4037952;-0.214548
207;3.43333333;-0.111697;1.4037952;-0.214548
208;3.45;-0.111697;1.4037952;-0.214548
209;3.46666667;-0.111697;1.4037952;-0.214548
210;3.48333333;-0.111697;1.4037952;-0.214548
211;3.5;-0.111697;1.4037952;-0.214548
212;3.51666667;-0.111697;1.4037952;-0.214548
213;3.53333333;-0.111697;1.4037952;-0.214548
214;3.55;-0.111697;1.4037952;-0.214548
215;3.56666667;-0.111697;1.4037952;-0.214548
216;3.58333333;-0.111697;1.4037952;-0.214548
217;3.6;-0.111697;1.4037952;-0.214548
218;3.61666667;-0.111697;1.4037952;-0.214548
219;3.63333333;-0.111697;1.4037952;-0.214548
220;3.65;-0.111697;1.4037952;-0.214548
221;3.66666667;-0.111697;1.4037952;-0.214548
222;3.68333333;-0.111697;1.4037952;-0.214548
223;3.7;-0.111697;1.4037952;-0.214548
224;3.71666667;-0.111697;1.4037952;-0.214548
225;3.73333333;-0.111697;1.4037952;-0.214548
226;3.75;-0.111697;1.4037952;-0.214548
227;3.76666667;-0.111697;1.4037952;-0.214548
228;3.78333333;-0.111697;1.4037952;-0.214548
229;3.8;-0.111697;1.4037952;-0.214548
230;3.81666667;-0.111697;1.4037952;-0.214548
231;3.83333333;-0.111697;1.4037952;-0.214548
232;3.85;-0.111697;1.4037952;-0.214548
233;3.86666667;-0.111697;1.4037952;-0.214548
234;3.88333333;-0.111697;1.4037952;-0.214548
235;3.9;-0.111697;1.4037952;-0.214548
236;3.91666667;-0.111697;1.4037952;-0.214548
237;3.93333333;-0.111697;1.4037952;-0.214548
238;3.95;-0.111697;1.4037952;-0.214548
