sep=,
DeviceTag:,Xsens_4,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.0.0,,,,,,,,,,,,,,,,,
StartTime:,2023-06-20 14:10:10.000 +0200,,,,,,,,,,,,,,,,,
© Movella Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Status,
51, 156386731, 0.72238356, 0.009010802, 0.014363913, 0.6912847, 0.011776485480368137, 0.23724307119846344, 10.28172779083252, 0.9003440141677856, 0.8797770142555237, -0.5797178745269775, 0, 
52, 156403398, 0.7227214, 0.009018627, 0.014475722, 0.6909291, 0.009301030077040195, 0.24425114691257477, 10.263299942016602, 0.8483886122703552, 0.8406664729118347, -0.6289710998535156, 0, 
53, 156420065, 0.72278875, 0.009027364, 0.014596914, 0.690856, 0.01225042250007391, 0.23330406844615936, 10.277236938476562, 0.911626398563385, 0.8400261998176575, -0.6465798020362854, 0, 
54, 156436732, 0.72285426, 0.009032253, 0.014715495, 0.69078475, 0.016260111704468727, 0.23860731720924377, 10.258914947509766, 0.8824792504310608, 0.8493490815162659, -0.5853782892227173, 0, 
55, 156453399, 0.7231329, 0.00903853, 0.014825538, 0.69049066, 0.008152728900313377, 0.24752505123615265, 10.252279281616211, 0.8429076075553894, 0.8412299752235413, -0.5470616817474365, 0, 
56, 156470066, 0.72316873, 0.009047357, 0.014943459, 0.6904505, 0.014411392621695995, 0.24244603514671326, 10.28908634185791, 0.9046598672866821, 0.8298450708389282, -0.5768876075744629, 0, 
57, 156486733, 0.7237308, 0.009061912, 0.015051946, 0.68985885, 0.01895902305841446, 0.25086018443107605, 10.300950050354004, 0.8671371340751648, 0.8457633852958679, -0.6133344769477844, 0, 
58, 156503400, 0.72373587, 0.009059047, 0.015162555, 0.6898511, 0.0043703122064471245, 0.24608518183231354, 10.251373291015625, 0.8185626268386841, 0.8473384976387024, -0.6964733600616455, 0, 
59, 156520067, 0.7239038, 0.009068176, 0.015274969, 0.68967235, 0.00528327701613307, 0.24340927600860596, 10.264270782470703, 0.8789573907852173, 0.8341095447540283, -0.5418366193771362, 0, 
60, 156536734, 0.7240133, 0.009078793, 0.015386064, 0.68955463, 0.008152203634381294, 0.24713186919689178, 10.274344444274902, 0.8871279358863831, 0.8097262978553772, -0.6276392340660095, 0, 
61, 156553401, 0.7241662, 0.009088917, 0.015497873, 0.6893915, 0.012054587714374065, 0.23449677228927612, 10.288365364074707, 0.887921929359436, 0.826041579246521, -0.6359761357307434, 0, 
62, 156570068, 0.7242527, 0.009087382, 0.0156068085, 0.68929815, 0.02623532898724079, 0.25327539443969727, 10.25625228881836, 0.8227119445800781, 0.859555721282959, -0.6023339033126831, 0, 
