-11.0152220190283-4.44089209850063e-16i,-11.2147487726047+0i,23.9321993204388+0i
-3.12943067378355-1.11022302462516e-16i,-19.0493787073782+0i,21.622118978802+8.88178419700125e-16i
-5.36263574298618-3.33066907387547e-16i,-27.6943316590394+0i,27.4639347050649-8.88178419700125e-16i
-14.4976113278496+4.44089209850063e-16i,-35.6445924731833+0i,36.494751561121+0i
-23.6010173614684-8.88178419700125e-16i,-38.8000537936919+1.77635683940025e-15i,51.2391176538466+0i
-31.7764990907237+8.88178419700125e-16i,-32.7098043175504+0i,64.8800279918044+3.5527136788005e-15i
-39.2004709331858-1.77635683940025e-15i,-23.0059886612693-8.88178419700125e-16i,73.2360303269475-3.5527136788005e-15i
-46.0637784889545+0i,-17.1393286723279+8.88178419700125e-16i,75.2966981841262+3.5527136788005e-15i
-48.6772710364757+1.77635683940025e-15i,-20.6329101891771+0i,77.1320724251539+3.5527136788005e-15i
-48.5192349489962+0i,-22.3020419320339+0i,72.7250215458597-3.5527136788005e-15i
-48.0532814699212+0i,-18.5021473040828+0i,61.2582221216929+0i
-43.0582803813753+0i,-11.6061299727408-2.22044604925031e-16i,46.6030781625053+0i
-32.7215623230798+0i,-2.07143483724625+0i,36.8921456065139+1.77635683940025e-15i
-25.5665351288948+0i,3.5307836279471+0i,25.564061843601+0i
-27.7235609588397+0i,10.9357542173398-4.44089209850063e-16i,16.952833816538+1.77635683940025e-15i
-35.603151404856+0i,11.3285571532015+8.88178419700125e-16i,15.7787422986567-8.88178419700125e-16i
-41.7223000215474+1.77635683940025e-15i,9.51060680669728+0i,20.6380427458589+8.88178419700125e-16i
-45.0778916349588-1.77635683940025e-15i,1.0930662991341-2.22044604925031e-16i,30.8808954110896+0i
-42.4382649418688+0i,-7.95515502375747+8.88178419700125e-16i,44.1274105488904-1.77635683940025e-15i
-35.8904366315504+0i,-14.9283567036017+0i,55.9804084323637+0i
-29.1625680758608+8.88178419700125e-16i,-19.3731307358794-8.88178419700125e-16i,59.1619617620491+0i
-29.1065673480474+0i,-23.1648927756523-8.88178419700125e-16i,60.0814696549434+0i
-32.6596892530934+1.77635683940025e-15i,-22.673203908359+1.77635683940025e-15i,60.4380429300462+0i
-36.3470267951194+0i,-19.4953770386366-8.88178419700125e-16i,54.6644832392638-1.77635683940025e-15i
-40.0860355571333+0i,-15.2366775378732+0i,42.8198411977791+0i
-41.0052817214087-1.77635683940025e-15i,-17.8745099070821+0i,39.3437911044843-1.77635683940025e-15i
-33.8270119307852+0i,-24.3977826960892+1.77635683940025e-15i,45.7155046836423+0i
-19.9291474852414+0i,-31.7455037539263+0i,52.065399469955+1.77635683940025e-15i
-14.5118406294432+4.44089209850063e-16i,-37.5604964915175+0i,52.8813590820449+1.77635683940025e-15i
-25.4553159318535-1.77635683940025e-15i,-36.8147489652906+0i,52.9025590940826+0i
-32.7013931205194+0i,-41.338216487626-8.88178419700125e-16i,58.7404594056126+0i
-21.9410633794692+8.88178419700125e-16i,-41.3713881943333+0i,63.1275486035558+0i
-10.6170683049774-2.22044604925031e-16i,-31.9681088611747+0i,63.6989041433258-3.5527136788005e-15i
-10.1575917675275+0i,-19.5633671416643-4.44089209850063e-16i,60.9999990176729+0i
-5.31777934176533+8.88178419700125e-16i,-11.556510515918+0i,59.5087204105346+0i
2.1145578277505+8.88178419700125e-16i,-1.28364095274399+0i,47.0501459776429-1.77635683940025e-15i
-15.4509600664341+2.22044604925031e-15i,23.8891576284975+0i,31.3487165627247-8.88178419700125e-16i
-58.1300180055846+0i,28.3736843589962+0i,26.661668518003-8.88178419700125e-16i
-90.4099756896102+0i,19.2635189220757+8.88178419700125e-16i,34.2861768893531+3.5527136788005e-15i
-104.39304573177+0i,13.6339982068421+1.33226762955019e-15i,39.4500064799062+1.77635683940025e-15i
-107.312370897108+3.5527136788005e-15i,22.5007494286209+0i,39.2857290280822-1.77635683940025e-15i
-90.6252329501291+0i,19.009885630899+0i,43.8006094361323+1.77635683940025e-15i
-56.6847286334262+0i,9.26021380697665+0i,46.5575903221016+0i
-32.8490429345358+1.77635683940025e-15i,-2.1975952824205+0i,43.6748761092226-1.77635683940025e-15i
-46.1520971951759+0i,-9.31523988435114+0i,39.7848651027523+0i
-76.5159296506581+0i,-20.0731565142096-8.88178419700125e-16i,36.7707444954292+0i
-93.6895647890892-3.5527136788005e-15i,-27.4316185177239+1.77635683940025e-15i,30.24511823989+1.77635683940025e-15i
-84.1212042561152+0i,-39.1559112487038-1.77635683940025e-15i,25.2933118507993+0i
-56.8001054078875+0i,-50.4417321808902-1.77635683940025e-15i,36.2085786393813+8.88178419700125e-16i
-23.1281853920505-8.88178419700125e-16i,-63.745573978592+1.77635683940025e-15i,61.1187941380981+3.5527136788005e-15i
3.27586733347814+0i,-66.4910631594158+0i,77.768381930646-3.5527136788005e-15i
2.25635205180124+0i,-62.3451826577275+0i,71.3167392880734+0i
-32.1915267540558+2.66453525910038e-15i,-56.6126928443341+0i,49.4773353325128+1.77635683940025e-15i
-69.0239824443356+0i,-56.5423568347499+1.77635683940025e-15i,35.767682611846+0i
-70.3613008942431-3.5527136788005e-15i,-53.8108899273167+0i,44.0154538006732-1.77635683940025e-15i
-35.2755942937409-1.77635683940025e-15i,-38.3203274803483-1.77635683940025e-15i,59.3751300967271+0i
-8.60395664734432+0i,-20.6759520963844-8.88178419700125e-16i,61.5392874637362+0i
-15.0314630186083+8.88178419700125e-16i,-22.9444206987265+2.22044604925031e-16i,45.4720990557927+0i
-36.321408200417+0i,-41.6346254572165+1.77635683940025e-15i,27.1848294770051+1.77635683940025e-15i
-48.2276417419733-1.77635683940025e-15i,-63.5024234084524+0i,9.4351686904036-8.88178419700125e-16i
-44.1966497559522+0i,-71.9375468126038+0i,-1.22388346361527-4.44089209850063e-16i
-37.0780247724353+0i,-80.6749407327542+0i,-4.12657285518462+2.22044604925031e-16i
-14.4883979876834-8.88178419700125e-16i,-95.2955577219825+0i,4.41836209162198+0i
16.892358776081-8.88178419700125e-16i,-110.146903061329+0i,13.0383585674364+4.44089209850063e-16i
47.2598126342516+0i,-120.326392263299+0i,18.9923250992286-8.88178419700125e-16i
64.8239376204023+0i,-127.227363035481+7.105427357601e-15i,30.7585996279208-8.88178419700125e-16i
85.8923202430811+0i,-136.308525960208+0i,49.1332115935668+1.77635683940025e-15i
89.4800479356532+0i,-132.372985681602+0i,66.3785232594595+3.5527136788005e-15i
61.8569785115915-3.5527136788005e-15i,-119.527162581996-3.5527136788005e-15i,72.6222167822916-3.5527136788005e-15i
11.2305793284186+1.77635683940025e-15i,-111.427488548255-3.5527136788005e-15i,83.9289057339892+0i
-9.72534005516394+8.88178419700125e-16i,-121.579420330493+3.5527136788005e-15i,113.906654279702+0i
