"sep=,",,,,,,,,,,,,,,,
"DeviceTag:,Xsens_2,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,
"FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,
"AppVersion:,2023.0.0,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,
"StartTime:,2023-07-17 14:57:19.000 +0200,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,
"© Movella Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Status
0,1112319256,0,2.61682076447296e-17,0.707106781186548,0.707106781186547,0,0,0,0,0,0,1.014892578125,-0.44873046875,-0.43896484375,0
1,1112335923,0.00109533062042604,0.000652143493281132,0.707477774375889,0.706734443566914,-9.66337154938998,0.446237976383632,-2.29929730233866,-4.4940069505818,-0.929255155324391,-5.82883108192599,1.0106471713958,-0.446804345544334,-0.435177462655216,0
2,1112352590,0.00196888961433826,0.00105395077988604,0.707712879693396,0.706496633097089,-9.71652819580599,0.482950412026685,-2.26517707094707,-3.29696823574144,-0.914962099045276,-5.60096145244592,1.01355245164873,-0.447465517402259,-0.433225122743067,0
3,1112369257,0.00272519781072985,0.00108235811735946,0.707810253880449,0.706396522004103,-9.73231837182109,0.471562150317743,-2.29731338269496,-1.96752027295157,-0.802218074054564,-5.1199071680267,1.01694863912626,-0.444585488334907,-0.435229744229836,0
4,1112385924,0.00340349997918853,0.00120859299368055,0.707983697071003,0.706219541058262,-9.73657262213668,0.466744733031269,-2.35422644767752,-0.451001641845718,-0.644629488309298,-4.84122238479661,1.01361321363789,-0.44520556109064,-0.434470855889835,0
5,1112402591,0.00387803881608086,0.00147015103801754,0.708012714744862,0.706187507132827,-9.74614409079136,0.418723228915585,-2.39826056316287,0.0693794377907707,-0.283800309127193,-4.54844909422167,1.01571135205437,-0.447044596527388,-0.432651315313222,0
6,1112419258,0.00427999172964566,0.00192542499481775,0.70799686346249,0.706199982821198,-9.6438946008167,0.415095918705083,-2.42436270382946,-0.584680862894902,-0.0680635436670739,-4.62501502955991,1.01470062732333,-0.444360643049892,-0.438127663228019,0
7,1112435925,0.00469468728046887,0.00264187666270957,0.708338639450285,0.705852217012001,-9.57329661141506,0.392082605658664,-2.47552669907349,-2.3136968548752,0.114086709496511,-5.19331874600259,1.01498381821193,-0.449345869791154,-0.436163521283633,0
8,1112452592,0.00507018451631592,0.00340264201488299,0.708548993012905,0.705635203031061,-9.61578384945588,0.368960197205025,-2.43807709543022,-2.95885420929592,-0.298887207709582,-5.34412026661805,1.0113911601305,-0.446817122326192,-0.437447731685024,0
9,1112469259,0.00551047753254835,0.00420633858315788,0.708890351914554,0.705284630709862,-9.64375429653131,0.368400760738287,-2.33494913255525,-3.5755347623986,-0.517812706156006,-5.39449108938412,1.01601495903521,-0.447393247614398,-0.437775766325425,0
10,1112485926,0.00604897881625041,0.00479598346297988,0.709033634808172,0.705132408210413,-9.72415448501524,0.383799634694272,-2.18468708914215,-1.56989885060453,-1.4739635791681,-4.66022582223518,1.0143055409822,-0.447944623281719,-0.434740375181119,0
11,1112502593,0.00658082255002217,0.00513983130089084,0.708826612154073,0.705333331702779,-9.74200995651806,0.425450930198658,-2.13403593782549,1.25446674503112,-1.54380730625994,-3.56373514787521,1.01272608893173,-0.444290664579933,-0.434746465931164,0
12,1112519260,0.00709053717526551,0.00525187965298025,0.708352496900194,0.705803713632861,-9.72241983966082,0.383937123163824,-2.16256082714283,4.7088462011137,-1.75353041192753,-2.293100588807,1.01039070967758,-0.445062428767139,-0.438421628966,0
13,1112535927,0.00764750777294223,0.00521283084724472,0.707728110565581,0.706424280114078,-9.60074377554318,0.327599169564572,-2.28289312004739,6.33906084191779,-2.29607425456893,-1.73880666659318,1.01389066801762,-0.444368709226015,-0.443206069831658,0
14,1112552594,0.00825430900121491,0.00522516162824074,0.707320727342581,0.706825263230194,-9.41343459754364,0.299938847815144,-2.39750758496272,4.90289792958185,-2.40562971809505,-1.94120843320527,1.00847815726444,-0.444887005087134,-0.436523103826956,0
15,1112569261,0.0089575242441528,0.00519520945115276,0.706988354385628,0.707149375536226,-9.35593598338248,0.248923250254541,-2.43735377829707,3.08086080167101,-3.46107577295181,-2.34168278040125,1.01122779856033,-0.444520394929484,-0.438060665207891,0
16,1112585928,0.00974890052868324,0.00527304915608851,0.706872604725942,0.707254038220384,-9.23971771524283,0.264822803159029,-2.49918905911135,1.26543002155047,-3.76169065884711,-3.05747101606387,1.0131090751385,-0.444937314003616,-0.439845680159873,0
17,1112602595,0.0105083664583182,0.00550732037046375,0.707025872490864,0.707088155243211,-9.40515620311576,0.300317516429326,-2.48365227677607,-1.35573603174216,-3.25327772514029,-3.6012329277308,1.01112092607022,-0.445791494626822,-0.43988433932661,0
18,1112619262,0.0111984973134688,0.00553659605686225,0.706949120280899,0.707154071681756,-9.56573655995043,0.35334753319139,-2.45813408164388,0.579544702235726,-4.1444841782782,-2.34012378296039,1.01090028620101,-0.444043395487377,-0.439269091507815,0
19,1112635929,0.0118715424099532,0.00535381294403699,0.706661982054578,0.707431442817227,-9.63575795345087,0.391284439902279,-2.48273170693109,2.97645287543838,-5.19667309038978,-1.2169599251304,1.01013635500096,-0.445591303939712,-0.439860740871034,0
20,1112652596,0.0124510043509609,0.00501466864665786,0.70622942825563,0.707855790577956,-9.66575994855392,0.45397874390507,-2.56792968082667,4.18813584781577,-5.55442383104011,-0.166401084892759,1.00962255520767,-0.444401102158174,-0.44005137254118,0
21,1112669263,0.0129382312652692,0.00464477757754085,0.705841158233981,0.708236745414903,-9.60731993067477,0.459132732757195,-2.69535404734359,4.00488781114489,-5.3734126613249,0.316238088726971,1.00982721036334,-0.44481847756257,-0.439296371347728,0
22,1112685930,0.0134034455171301,0.00429140614419095,0.705743793080271,0.7083273466486,-9.5544132910294,0.491610983186797,-2.75581053204898,1.06046632019663,-5.36503096359595,0.155179614253986,1.01013063568161,-0.442893210977869,-0.442870269764283,0
23,1112702597,0.0138807530691629,0.00402179191281911,0.706237546433255,0.707827435108289,-9.51532286608081,0.571835810085973,-2.69173692091802,-3.96430445729236,-5.20613559991885,-0.327614343013309,1.01209112368767,-0.447771469965361,-0.443132087026604,0
24,1112719264,0.0143995870016136,0.00379096283262262,0.707058153217844,0.706998619845298,-9.42103687945025,0.625784771816191,-2.55820440610044,-7.99450256156987,-5.26367256968621,-1.13860104604672,1.01104827234154,-0.44383065330277,-0.442280456861765,0
25,1112735931,0.0149909822738256,0.00364711242857945,0.708178523711472,0.705864822452032,-9.33945950784834,0.706414950116321,-2.41530812807836,-10.7203846261813,-5.16594212475564,-2.09192652412607,1.00903371198189,-0.444135855193679,-0.439156883579095,0
26,1112752598,0.0155100380581121,0.0035972598215753,0.709432187685473,0.704593833010917,-9.37450861947111,0.744208466763991,-2.33449782379292,-11.9383345696934,-4.24755808843589,-2.4194612262778,1.01329182479768,-0.445806503072028,-0.440639518825951,0
27,1112769265,0.0158259514659237,0.00355604438604785,0.710599460792271,0.703409766871527,-9.56916225064499,0.755134312466837,-2.31326733971911,-11.0537348067975,-3.08255064600825,-1.67379308649316,1.01154336592638,-0.449593534006733,-0.438451194786139,0
28,1112785932,0.0159409965424671,0.00341292947850866,0.711555520981137,0.70244072853364,-9.78959133314635,0.769891065174807,-2.35676883867421,-9.53915029946168,-2.43392723866588,-0.492077157740711,1.01287091305853,-0.444470521954185,-0.438419100042026,0
29,1112802599,0.0158980238142193,0.00312599592524897,0.712450946105837,0.701534839035935,-9.96213364290173,0.739628934903017,-2.39532537058223,-8.50042312372755,-2.23690969142003,0.942847249272485,1.01389392488119,-0.446869107437389,-0.437175681311483,0
30,1112819266,0.0156891803243394,0.00273908449818826,0.713202998950778,0.700776590165852,-10.0448050833342,0.638260860986256,-2.42898341548177,-7.0537580296694,-1.80189538693056,2.15848416487019,1.01271615804957,-0.442986349180294,-0.434143522080972,0
31,1112835933,0.0153680677199498,0.00233537753586969,0.713839412370024,0.70013688793945,-9.98347613937602,0.503870677955523,-2.45375223637143,-6.16064897978488,-1.23687148480606,2.70971491474097,1.01201199610588,-0.444510426455502,-0.43739314124914,0
