sep=,
DeviceTag:,Xsens_5,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.0.0,,,,,,,,,,,,,,,,,
StartTime:,2023-06-20 14:10:10.000 +0200,,,,,,,,,,,,,,,,,
© Movella Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Status,
34, 716911436, 0.6531667, 9.6682366E-4, -0.012398613, -0.75711215, 0.09480337053537369, 0.12427876889705658, 9.913750648498535, 1.0244245529174805, -0.7615039348602295, 0.47957858443260193, 0, 
35, 716928103, 0.6532534, 9.801304E-4, -0.01252545, -0.7570353, 0.08854284882545471, 0.11971068382263184, 9.89278793334961, 1.0310839414596558, -0.7409369945526123, 0.49582985043525696, 0, 
36, 716944770, 0.6533494, 9.897557E-4, -0.012650543, -0.7569502, 0.08640409260988235, 0.13394519686698914, 9.91735553741455, 1.0073795318603516, -0.7530645728111267, 0.5148472189903259, 0, 
37, 716961437, 0.6534394, 9.926901E-4, -0.012782927, -0.7568703, 0.08113808184862137, 0.12116508930921555, 9.911142349243164, 1.0138723850250244, -0.8209511041641235, 0.5439049005508423, 0, 
38, 716978104, 0.65353763, 0.001008538, -0.012903376, -0.75678355, 0.09231491386890411, 0.10279727727174759, 9.889287948608398, 1.0109269618988037, -0.7045413255691528, 0.5456721782684326, 0, 
39, 716994771, 0.65362835, 0.0010267346, -0.0130192265, -0.7567031, 0.09467209875583649, 0.12433014065027237, 9.909147262573242, 1.004946231842041, -0.6713984608650208, 0.46926942467689514, 0, 
40, 717011438, 0.6537173, 0.0010410313, -0.013146728, -0.7566241, 0.09486420452594757, 0.13724496960639954, 9.911728858947754, 1.0490834712982178, -0.7427299618721008, 0.4851045310497284, 0, 
41, 717028105, 0.6538142, 0.0010529954, -0.013277967, -0.7565381, 0.08247511833906174, 0.14225846529006958, 9.921850204467773, 1.0557682514190674, -0.7703146934509277, 0.5319629907608032, 0, 
42, 717044772, 0.65391237, 0.0010661604, -0.013395937, -0.7564509, 0.08912838995456696, 0.13143736124038696, 9.91093921661377, 0.9880418181419373, -0.7068721055984497, 0.5531767010688782, 0, 
43, 717061439, 0.654002, 0.001079756, -0.0135199595, -0.75637126, 0.09360204637050629, 0.12291084229946136, 9.884461402893066, 1.020499587059021, -0.7327153086662292, 0.5032127499580383, 0, 
44, 717078106, 0.6540992, 0.0010874972, -0.013645988, -0.7562849, 0.0995626300573349, 0.1268848329782486, 9.900833129882812, 1.0075459480285645, -0.7707757353782654, 0.5617312788963318, 0, 
45, 717094773, 0.6541767, 0.001099258, -0.013776544, -0.75621545, 0.0873449444770813, 0.1220184713602066, 9.922094345092773, 1.0493971109390259, -0.770391583442688, 0.4074147939682007, 0, 
46, 717111440, 0.65425706, 0.0011122593, -0.013897291, -0.7561437, 0.0821511521935463, 0.13040727376937866, 9.907383918762207, 1.0062652826309204, -0.7216634154319763, 0.4359729588031769, 0, 
47, 717128107, 0.6543467, 0.0011254441, -0.014016536, -0.756064, 0.10085074603557587, 0.1297207772731781, 9.921855926513672, 0.9990296959877014, -0.7165536880493164, 0.45890915393829346, 0, 
48, 717144774, 0.6544391, 0.0011373612, -0.014143445, -0.7559816, 0.08722065389156342, 0.14063221216201782, 9.906277656555176, 1.0352972745895386, -0.7555618286132812, 0.5221468806266785, 0, 
49, 717161441, 0.6545346, 0.001151112, -0.014266498, -0.75589657, 0.08354756981134415, 0.115056112408638, 9.892074584960938, 1.0223501920700073, -0.7300131916999817, 0.5334933400154114, 0, 
50, 717178108, 0.65462816, 0.0011684747, -0.014385564, -0.7558133, 0.0878954529762268, 0.11131860315799713, 9.933307647705078, 1.0225293636322021, -0.6955128312110901, 0.5430468916893005, 0, 
51, 717194775, 0.65471137, 0.0011978657, -0.014504757, -0.7557389, 0.09888143092393875, 0.12042858451604843, 9.915653228759766, 1.0802987813949585, -0.6376280784606934, 0.4283275306224823, 0, 
52, 717211442, 0.6548004, 0.0012117414, -0.01462593, -0.7556594, 0.09699056297540665, 0.1178058609366417, 9.906574249267578, 1.0255005359649658, -0.7253004908561707, 0.5080471634864807, 0, 
53, 717228109, 0.65488505, 0.0012314798, -0.014751537, -0.7555836, 0.09912597388029099, 0.13715685904026031, 9.901671409606934, 1.0787492990493774, -0.7141589522361755, 0.494536429643631, 0, 
54, 717244776, 0.65497303, 0.0012464487, -0.01488022, -0.7555047, 0.08846829831600189, 0.1286359578371048, 9.914777755737305, 1.0728967189788818, -0.7533975839614868, 0.5022585988044739, 0, 
55, 717261443, 0.65506727, 0.0012680709, -0.01501544, -0.75542027, 0.07130059599876404, 0.13084274530410767, 9.908567428588867, 1.137619972229004, -0.7512844204902649, 0.49530473351478577, 0, 
56, 717278110, 0.65515995, 0.0012809453, -0.015131778, -0.75533754, 0.08930665999650955, 0.13335174322128296, 9.922057151794434, 1.0025898218154907, -0.7161823511123657, 0.5073171257972717, 0, 
57, 717294777, 0.65524983, 0.0012909833, -0.015250246, -0.7552571, 0.0927310660481453, 0.12012408673763275, 9.893875122070312, 1.0033453702926636, -0.7423584461212158, 0.5132848620414734, 0, 
58, 717311444, 0.6553347, 0.0013090764, -0.015376589, -0.755181, 0.0875229761004448, 0.11766932159662247, 9.897683143615723, 1.0832058191299438, -0.7384781837463379, 0.438150018453598, 0, 
59, 717328111, 0.6554209, 0.0013239605, -0.015501618, -0.75510365, 0.08929530531167984, 0.11879013478755951, 9.938873291015625, 1.0651490688323975, -0.7514638304710388, 0.44329822063446045, 0, 
60, 717344778, 0.655518, 0.0013274511, -0.015628388, -0.7550168, 0.07759176194667816, 0.11981400102376938, 9.926223754882812, 1.0284332036972046, -0.8203107714653015, 0.5138612389564514, 0, 
61, 717361445, 0.6555989, 0.0013339142, -0.015750365, -0.75494397, 0.10148686170578003, 0.12105921655893326, 9.890182495117188, 1.0196479558944702, -0.7885125875473022, 0.4046230614185333, 0, 
62, 717378112, 0.6556928, 0.0013434998, -0.015873961, -0.7548598, 0.0875132605433464, 0.13442426919937134, 9.902978897094727, 1.046362042427063, -0.7798426747322083, 0.46909019351005554, 0, 
63, 717394779, 0.65578985, 0.0013485609, -0.01599232, -0.75477296, 0.08525243401527405, 0.1203140988945961, 9.915220260620117, 1.0004768371582031, -0.7828521132469177, 0.4735468327999115, 0, 
64, 717411446, 0.6558894, 0.00135732, -0.016109593, -0.754684, 0.08560413122177124, 0.11861888319253922, 9.915285110473633, 1.016548752784729, -0.7602362036705017, 0.5297538638114929, 0, 
65, 717428113, 0.6559821, 0.0013610861, -0.016228426, -0.75460094, 0.09861627221107483, 0.1256302446126938, 9.896673202514648, 1.0061949491500854, -0.797592282295227, 0.4785861372947693, 0, 
66, 717444780, 0.65608495, 0.0013663177, -0.016336108, -0.75450903, 0.09451425075531006, 0.13580842316150665, 9.89198112487793, 0.9594709277153015, -0.7400405406951904, 0.5545469522476196, 0, 
67, 717461447, 0.65618473, 0.0013747122, -0.016452793, -0.75441974, 0.09253112226724625, 0.1320142298936844, 9.927839279174805, 1.0222091674804688, -0.7677534818649292, 0.5215961933135986, 0, 
68, 717478114, 0.65628046, 0.0013754893, -0.016581371, -0.75433373, 0.07586805522441864, 0.12340604513883591, 9.895339012145996, 1.0525474548339844, -0.8634424805641174, 0.4789254665374756, 0, 
69, 717494781, 0.65637416, 0.0013801683, -0.016700514, -0.7542495, 0.08976943790912628, 0.12511059641838074, 9.922605514526367, 1.0250139236450195, -0.8058523535728455, 0.48262646794319153, 0, 
70, 717511448, 0.65647316, 0.0013848152, -0.016820982, -0.75416064, 0.09142512083053589, 0.11900768429040909, 9.886117935180664, 1.0366612672805786, -0.8146631717681885, 0.5088731646537781, 0, 
71, 717528115, 0.6565715, 0.0013905315, -0.016938293, -0.7540724, 0.09553566575050354, 0.11915477365255356, 9.88335132598877, 1.0303541421890259, -0.7972081899642944, 0.5284091830253601, 0, 
72, 717544782, 0.6566694, 0.0013985769, -0.017055303, -0.7539845, 0.08174461126327515, 0.1291336864233017, 9.902631759643555, 1.0441594123840332, -0.7868734002113342, 0.5068561434745789, 0, 
