sample;time;ulna_l_offset|position;;;humerus_l_offset|position;;
;;x;y;z;x;y;z
23;0.36666667;0.1743505052917555;1.416553416450882;-0.2297503655841969;0.1743505052917555;1.416553416450882;-0.2297503655841969
24;0.38333333;0.1743416418066088;1.416620327869849;-0.2298604386873091;0.1743416418066088;1.416620327869849;-0.2298604386873091
25;0.4;0.1743366591854092;1.416674739554482;-0.2299077709575925;0.1743366591854092;1.416674739554482;-0.2299077709575925
26;0.41666667;0.1743319967611344;1.416740503655221;-0.2299392772404733;0.1743319967611344;1.416740503655221;-0.2299392772404733
27;0.43333333;0.1743309698224799;1.416777408454583;-0.2299272728330146;0.1743309698224799;1.416777408454583;-0.2299272728330146
28;0.45;0.1743263555137586;1.41681184242488;-0.2299838806238214;0.1743263555137586;1.41681184242488;-0.2299838806238214
29;0.46666667;0.1743185592369563;1.416818835951102;-0.2301218264721373;0.1743185592369563;1.416818835951102;-0.2301218264721373
30;0.48333333;0.1743080793523867;1.416811783613468;-0.2303189361062867;0.1743080793523867;1.416811783613468;-0.2303189361062867
31;0.5;0.1742977145852622;1.41679820415227;-0.2305168572637643;0.1742977145852622;1.41679820415227;-0.2305168572637643
32;0.51666667;0.1742859597283268;1.416782059849302;-0.2307389698993221;0.1742859597283268;1.416782059849302;-0.2307389698993221
33;0.53333333;0.1742723021340908;1.416765010510176;-0.2309918907279023;0.1742723021340908;1.416765010510176;-0.2309918907279023
34;0.55;0.174258062886263;1.416749748334678;-0.2312495261924724;0.174258062886263;1.416749748334678;-0.2312495261924724
35;0.56666667;0.1742435004134035;1.416743012364074;-0.2315021637457341;0.1742435004134035;1.416743012364074;-0.2315021637457341
36;0.58333333;0.1742298135550385;1.416737833921424;-0.2317353443974991;0.1742298135550385;1.416737833921424;-0.2317353443974991
37;0.6;0.1742188190743514;1.416733455012965;-0.2319205429992922;0.1742188190743514;1.416733455012965;-0.2319205429992922
38;0.61666667;0.174210368168496;1.416732404060141;-0.232059849361799;0.174210368168496;1.416732404060141;-0.232059849361799
39;0.63333333;0.1742028004346294;1.416727265789417;-0.2321867379326654;0.1742028004346294;1.416727265789417;-0.2321867379326654
40;0.65;0.1741963884818598;1.416723322384572;-0.2322932349651942;0.1741963884818598;1.416723322384572;-0.2322932349651942
41;0.66666667;0.1741910667953264;1.416719471510224;-0.2323815571314583;0.1741910667953264;1.416719471510224;-0.2323815571314583
42;0.68333333;0.1741857077194183;1.416716349879929;-0.232469512290934;0.1741857077194183;1.416716349879929;-0.232469512290934
43;0.7;0.1741818964051739;1.416719022372196;-0.2325282863006083;0.1741818964051739;1.416719022372196;-0.2325282863006083
44;0.71666667;0.1741808855226351;1.416730035014525;-0.232536438015964;0.1741808855226351;1.416730035014525;-0.232536438015964
45;0.73333333;0.1741806132423103;1.416742746445382;-0.2325316197114131;0.1741806132423103;1.416742746445382;-0.2325316197114131
46;0.75;0.1741779256886896;1.416752781535942;-0.232567079699742;0.1741779256886896;1.416752781535942;-0.232567079699742
47;0.76666667;0.1741724108349429;1.416758662350941;-0.2326501513295605;0.1741724108349429;1.416758662350941;-0.2326501513295605
48;0.78333333;0.1741648175092861;1.416764721410683;-0.2327653569615753;0.1741648175092861;1.416764721410683;-0.2327653569615753
49;0.8;0.1741567286421483;1.416767215046632;-0.2328900810436291;0.1741567286421483;1.416767215046632;-0.2328900810436291
50;0.81666667;0.1741491673122932;1.416769615534581;-0.2330058564413224;0.1741491673122932;1.416769615534581;-0.2330058564413224
51;0.83333333;0.1741393776152819;1.416766415917967;-0.233159074106119;0.1741393776152819;1.416766415917967;-0.233159074106119
52;0.85;0.1741275352722183;1.416759592458633;-0.2333447777717071;0.1741275352722183;1.416759592458633;-0.2333447777717071
53;0.86666667;0.174115563052439;1.416755654183505;-0.2335286406307291;0.174115563052439;1.416755654183505;-0.2335286406307291
54;0.88333333;0.1741036044469351;1.416754450477165;-0.2337086788720195;0.1741036044469351;1.416754450477165;-0.2337086788720195
55;0.9;0.1740919047576635;1.416756880613193;-0.233880771221343;0.1740919047576635;1.416756880613193;-0.233880771221343
56;0.91666667;0.1740775744003222;1.416755883804351;-0.2340921191062269;0.1740775744003222;1.416755883804351;-0.2340921191062269
57;0.93333333;0.1740610956334646;1.416749436187515;-0.2343358203633891;0.1740610956334646;1.416749436187515;-0.2343358203633891
58;0.95;0.1740460609054639;1.416738397587837;-0.234558898794871;0.1740460609054639;1.416738397587837;-0.234558898794871
59;0.96666667;0.1740330319814479;1.416727485173195;-0.2347510718971134;0.1740330319814479;1.416727485173195;-0.2347510718971134
60;0.98333333;0.1740199992190272;1.416710569016262;-0.2349452765448763;0.1740199992190272;1.416710569016262;-0.2349452765448763
61;1;0.1740076624195356;1.41669146314237;-0.2351293400608888;0.1740076624195356;1.41669146314237;-0.2351293400608888
62;1.01666667;0.1739963947481439;1.416669191022127;-0.2352989961795428;0.1739963947481439;1.416669191022127;-0.2352989961795428
63;1.03333333;0.1739833540143549;1.416643153105132;-0.235493756640457;0.1739833540143549;1.416643153105132;-0.235493756640457
64;1.05;0.1739672401818138;1.416609598152266;-0.2357327202328038;0.1739672401818138;1.416609598152266;-0.2357327202328038
65;1.06666667;0.1739487950572149;1.416577229428895;-0.2359993118435768;0.1739487950572149;1.416577229428895;-0.2359993118435768
66;1.08333333;0.1739361095652695;1.416555180167584;-0.2361805892162177;0.1739361095652695;1.416555180167584;-0.2361805892162177
67;1.1;0.1739305045805384;1.416539538210882;-0.2362636570395922;0.1739305045805384;1.416539538210882;-0.2362636570395922
68;1.11666667;0.1739247052755655;1.416530149226044;-0.2363452895949951;0.1739247052755655;1.416530149226044;-0.2363452895949951
69;1.13333333;0.1739172596285337;1.416523005121143;-0.2364467890907878;0.1739172596285337;1.416523005121143;-0.2364467890907878
70;1.15;0.1739083247617675;1.416513475782158;-0.2365685181331934;0.1739083247617675;1.416513475782158;-0.2365685181331934
71;1.16666667;0.1738972889450697;1.416511693184193;-0.2367122101834563;0.1738972889450697;1.416511693184193;-0.2367122101834563
72;1.18333333;0.1738862205518571;1.416527962518193;-0.2368450892244844;0.1738862205518571;1.416527962518193;-0.2368450892244844
73;1.2;0.1738714992618379;1.416549092999492;-0.2370208665883819;0.1738714992618379;1.416549092999492;-0.2370208665883819
74;1.21666667;0.1738546784854859;1.416546370706355;-0.2372351296055524;0.1738546784854859;1.416546370706355;-0.2372351296055524
75;1.23333333;0.1738300244000511;1.416520460547358;-0.2375576799468045;0.1738300244000511;1.416520460547358;-0.2375576799468045
76;1.25;0.1737999571047525;1.416484169178769;-0.2379475050184278;0.1737999571047525;1.416484169178769;-0.2379475050184278
77;1.26666667;0.1737752053420281;1.416442463413231;-0.2382698463723905;0.1737752053420281;1.416442463413231;-0.2382698463723905
78;1.28333333;0.1737496753427859;1.416384558003244;-0.2386054913658167;0.1737496753427859;1.416384558003244;-0.2386054913658167
79;1.3;0.173728563655586;1.416304469452475;-0.2388959995000913;0.173728563655586;1.416304469452475;-0.2388959995000913
80;1.31666667;0.173709258350608;1.416221148148974;-0.2391634991195585;0.173709258350608;1.416221148148974;-0.2391634991195585
81;1.33333333;0.1736890776756647;1.416126012274318;-0.2394437230775684;0.1736890776756647;1.416126012274318;-0.2394437230775684
82;1.35;0.1736733379462466;1.416020702352236;-0.2396750094257255;0.1736733379462466;1.416020702352236;-0.2396750094257255
83;1.36666667;0.173660857781585;1.415944040467005;-0.2398532952484649;0.173660857781585;1.415944040467005;-0.2398532952484649
84;1.38333333;0.1736535791247678;1.415933627313614;-0.2399402205707133;0.1736535791247678;1.415933627313614;-0.2399402205707133
85;1.4;0.1736463791241404;1.415911357714868;-0.2400316026151235;0.1736463791241404;1.415911357714868;-0.2400316026151235
86;1.41666667;0.1736331001901379;1.415848415828607;-0.2402095121081142;0.1736331001901379;1.415848415828607;-0.2402095121081142
87;1.43333333;0.1736179431309137;1.415752755166652;-0.2404219133228813;0.1736179431309137;1.415752755166652;-0.2404219133228813
88;1.45;0.1736020651037795;1.415648167326872;-0.2406441665088485;0.1736020651037795;1.415648167326872;-0.2406441665088485
89;1.46666667;0.1735841293392613;1.415534617106506;-0.2408904110307912;0.1735841293392613;1.415534617106506;-0.2408904110307912
90;1.48333333;0.1735667588619364;1.415359808879081;-0.2411545215958954;0.1735667588619364;1.415359808879081;-0.2411545215958954
91;1.5;0.1735497172570587;1.415124592674805;-0.2414369279386832;0.1735497172570587;1.415124592674805;-0.2414369279386832
92;1.51666667;0.1735344252985381;1.414879980849027;-0.2416998129356683;0.1735344252985381;1.414879980849027;-0.2416998129356683
93;1.53333333;0.1735205660586416;1.41465401829976;-0.2419356864068003;0.1735205660586416;1.41465401829976;-0.2419356864068003
94;1.55;0.1735044709766601;1.414493918487283;-0.2421653435630438;0.1735044709766601;1.414493918487283;-0.2421653435630438
95;1.56666667;0.1734885888969941;1.414404157570684;-0.2423632690933976;0.1734885888969941;1.414404157570684;-0.2423632690933976
96;1.58333333;0.1734757932395925;1.414384432418044;-0.242501630224449;0.1734757932395925;1.414384432418044;-0.242501630224449
97;1.6;0.1734676503595123;1.41436661489056;-0.2425912997799609;0.1734676503595123;1.41436661489056;-0.2425912997799609
98;1.61666667;0.1734586588376079;1.414373910585522;-0.2426798397058829;0.1734586588376079;1.414373910585522;-0.2426798397058829
99;1.63333333;0.1734492765958044;1.414431511871243;-0.2427531254797192;0.1734492765958044;1.414431511871243;-0.2427531254797192
100;1.65;0.1734432926766267;1.414544345007879;-0.242770839401578;0.1734432926766267;1.414544345007879;-0.242770839401578
101;1.66666667;0.1734423479017546;1.414682929401651;-0.242727228460669;0.1734423479017546;1.414682929401651;-0.242727228460669
102;1.68333333;0.1734397894577906;1.414696993498423;-0.2427476717396032;0.1734397894577906;1.414696993498423;-0.2427476717396032
103;1.7;0.1734363647991152;1.414676286429311;-0.2427902648959416;0.1734363647991152;1.414676286429311;-0.2427902648959416
104;1.71666667;0.1734316849814269;1.414623377077892;-0.2428577663701419;0.1734316849814269;1.414623377077892;-0.2428577663701419
105;1.73333333;0.1734290180502709;1.414575010468481;-0.242903049057623;0.1734290180502709;1.414575010468481;-0.242903049057623
106;1.75;0.1734312022488179;1.414491955428549;-0.2429125376422576;0.1734312022488179;1.414491955428549;-0.2429125376422576
107;1.76666667;0.1734333014381396;1.414426370464338;-0.2429160931039407;0.1734333014381396;1.414426370464338;-0.2429160931039407
108;1.78333333;0.1734368596812159;1.41433037449511;-0.2429161414909445;0.1734368596812159;1.41433037449511;-0.2429161414909445
109;1.8;0.1734418075993594;1.414289436423818;-0.2428815612427472;0.1734418075993594;1.414289436423818;-0.2428815612427472
110;1.81666667;0.1734464374457715;1.414287383800364;-0.2428356907984502;0.1734464374457715;1.414287383800364;-0.2428356907984502
111;1.83333333;0.1734489844291544;1.414319475654571;-0.2427980703693826;0.1734489844291544;1.414319475654571;-0.2427980703693826
112;1.85;0.1734521862923593;1.414293856330684;-0.2427752751440096;0.1734521862923593;1.414293856330684;-0.2427752751440096
113;1.86666667;0.1734564085055473;1.414232198343341;-0.2427554808029634;0.1734564085055473;1.414232198343341;-0.2427554808029634
